source,event_date,event_type,evidence_type,evidence_ref,note
P-A (score_store / finmind_cache/Scores),2026-07-11,code_introduced,commit,50abd0dd498fd5eb79f6ef37e7dde5a3ae671cbd,"core/score_store.py added in commit '50abd0dd deploy: streamlit app + scores snapshot'; no prior commit touches this file (git log --follow finds no earlier ancestor)"
P-A (score_store / finmind_cache/Scores),2026-07-09,first_as_of_value_observed,commit_content,50abd0dd:cloud_cache/Scores/1216.parquet,"Earliest committed snapshot (same commit as code introduction) already contains only as_of=2026-07-09 (1 row per mode) -- the mechanism's very first run, not a truncated later state"
P-A deployment mirror (cloud_cache/Scores/),2026-07-11,mirror_introduced,commit,50abd0dd498fd5eb79f6ef37e7dde5a3ae671cbd,"cloud_cache/Scores/ (45 per-stock parquet files) committed for the first time in the same initial deploy commit"
P-A deployment mirror (cloud_cache/Scores/),2026-07-23,schema_resync_partial_truncation,commit_diff,817b9d591b48d19aa3ac68749e3cb71b1041315f,"Commit 'fix: 重同步 cloud_cache/Scores 為新 schema (33欄)' -- 0050.parquet, 1101.parquet, 1201.parquet went from non-zero bytes to exactly 0 bytes; other tickers (1102, 1216, ...) were resized/grown (schema migration preserved); 1104/1210/1215/1218 newly appeared"
P-A deployment mirror (cloud_cache/Scores/),2026-07-23,scheduling_failure_same_day,job_log,outputs/logs/daily_update_20260723.log + commit f5d2e42f0bc131e0fba3ca2e45e5134553235cc5,"Commit message '7/23 綜合分 (排程建分成功但 wscript 中途死於 255, 手動補 deploy)' documents a scheduled-task crash (exit 255) on the same calendar date as the 3-ticker zeroing; exact causal link between the crash and the specific 3-ticker loss is not fully disambiguated from a simpler explanation (universe/watchlist redefinition, see next row)"
P-A deployment mirror (cloud_cache/Scores/),2026-07-21,universe_redefinition,commit_message,912b6007f9d4bbe861f675bf8e145069915c3d1a + daily_auto_update.bat comment,"daily_auto_update.bat records: '2026-07-21: switched from build_cache.py (no args = watchlist + FinMind incremental) to pool + TEJ ... universe is now the daily L1 pool (~900), not the 45-stock watchlist' -- plausible alternate/contributing explanation for why some originally-seeded tickers (e.g. 1101, 1201) later disappear from the local source that cloud_cache/Scores mirrors"
P-A deployment mirror (cloud_cache/Scores/),recurring (every scheduled success),full_wipe_and_recopy,source_code,deploy_scores.py lines 176-178,"deploy_scores.py does shutil.rmtree(SNAPSHOT_DIR) then shutil.copytree(src, SNAPSHOT_DIR) on every run -- cloud_cache/Scores/ is a byte-for-byte daily mirror of the LOCAL finmind_cache/Scores/ source at run time, not an independently accumulating archive; it cannot retain history the local source has already lost"
P-A deployment mirror (cloud_cache/Scores/),2026-08-13,current_state,file_read (pandas),cloud_cache/Scores/1102.parquet (HEAD),"Currently-tracked stock 1102: 25 distinct as_of dates, 2026-07-08 .. 2026-08-12, all 3 modes present from 2026-07-09 (aggressive/conservative) or 2026-07-08 (balanced)"
P-B (outputs/universe_pool/c2_fullpool_*.csv),2026-07-15,related_script_introduced,commit,eb78a3d41fc624d67a1e89eeee0c92005f98ca06,"scripts/universe_screen_daily.py itself (L0-L2 daily screen + shortlist) introduced 2026-07-15 for a DIFFERENT purpose/population than c2_fullpool"
P-B (outputs/universe_pool/c2_fullpool_*.csv),NEVER (0 commits),c2_fullpool_code_not_in_git_history,git_pickaxe,"git log -S c2_fullpool -- scripts/universe_screen_daily.py","Zero commits in the file's entire history ever added or removed the string 'c2_fullpool' -- the feature exists ONLY in the current uncommitted working-tree diff (git status: tracked-modified)"
P-B (outputs/universe_pool/c2_fullpool_*.csv),2026-08-10,c2_fullpool_code_authored,working_tree_diff + self-documenting comment,"git diff HEAD -- scripts/universe_screen_daily.py","Uncommitted patch (43 insertions) adds the full-pool c2 block; the patch's own comment reads '全池 c2(2026-08-10 新增,附加輸出,不影響上面既有的 pool/shortlist)' -- author-dated at authorship time"
P-B (outputs/universe_pool/c2_fullpool_*.csv),2026-08-10,script_file_mtime,filesystem,scripts/universe_screen_daily.py (mtime),"Filesystem mtime = 2026-08-10 21:09:05 local, consistent with the code comment's self-reported introduction date"
P-B (outputs/universe_pool/c2_fullpool_*.csv),2026-08-07,first_file_present_but_backdated,filesystem + job_log,"outputs/universe_pool/c2_fullpool_2026-08-07.csv (mtime 2026-08-10 00:23) vs outputs/logs/daily_update_20260807.log (0 mentions of c2_fullpool/全池)","The as_of=2026-08-07 file's own filesystem mtime is 2026-08-10, three days after its as_of label; the actual scheduled production run that executed on 2026-08-07 (job log present, normal successful completion) contains zero references to c2_fullpool -- confirms this file was retroactively backfilled on 2026-08-10, not produced contemporaneously"
P-B (outputs/universe_pool/c2_fullpool_*.csv),2026-08-10,first_contemporaneous_file,filesystem,outputs/universe_pool/c2_fullpool_2026-08-10.csv (mtime 2026-08-10 18:03),"Earliest file whose mtime plausibly matches same-day production (18:03, same evening as the code was authored at 21:09 -- code was likely iterated on/finalized after this run, or an earlier same-day version produced it)"
P-B (outputs/universe_pool/c2_fullpool_*.csv),2026-08-11 / 2026-08-12,ongoing_normal_production,filesystem,outputs/universe_pool/c2_fullpool_2026-08-11.csv / c2_fullpool_2026-08-12.csv,"Regular daily accumulation continues without gaps since 2026-08-10; a 2026-08-12 file exists that postdates P0-R1's 2026-08-12 preflight snapshot (which only recorded 3 dates), confirming normal ongoing operation, not a stall"
