row_id,url,access_date,dataset,gate,component,quoted_or_paraphrased_content,access_status
1,https://www.tejwin.com/,2026-08-16,ALL_8,R4-A,vendor_identity,"Official vendor confirmed as Taiwan Economic Journal (台灣經濟新報 / 台灣經濟新報文化事業股份有限公司). Page states company leverages ""30多年來的財金資料庫收錄整理經驗"" (30+ years of financial database compilation experience). Product families named: ESG/TESG, TCRI credit risk, KYC/SME due diligence, TQuant Lab, valuation analytics, BIS/Censrisk regtech, Taiwan/China/Hong Kong securities and macroeconomic databases.",ACCESSIBLE
2,https://www.tejwin.com/,2026-08-16,ALL_8,R4-A,licensing_terms,"Page was fully reachable with no login/payment/download wall encountered at this URL. No explicit licensing/access-terms document or historical-vintage/revision policy is published on the accessible content. The page references a customer login portal (""提供服務客戶登入專區""), a paid learning academy (""TEJ金融知識學院-付費學習""), and an E-SHOP transaction page, but does not itself gate any of this specific page's own content behind login -- it simply does not contain licensing/access-terms text. No public price list or terms document was located on any page reached this round without navigating into the login-gated portal, which Phase B did not attempt to enter (SS11.1).",ACCESSIBLE
3,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,price_valuation,R4-A,official_product_name,"上市(櫃)調整股價(日)-均價 (Adjusted Daily Stock Price - Average); 上市(櫃)未調整股價(日) (Unadjusted Daily Stock Price); 上市(櫃)股價報酬(日)-報酬率 (Daily Stock Return Rate); 上市(櫃)調整股價(日)技術指標 (Daily Technical Indicators) -- all listed as named products on TEJ's own Taiwan-market database-solution page.",ACCESSIBLE
4,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,institutional_flow,R4-A,official_product_name,"三大法人買賣超 (Three Major Institutional Investors Buy-Sell Excess), including 外資法人持股 (foreign institutional holdings) and domestic investor trading, listed as a named product.",ACCESSIBLE
5,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,institutional_gross,R4-A,official_product_name,"Same product family as institutional_flow (三大法人買賣超) -- the public page does not distinguish a separately-named ""gross"" (total buy/sell before netting) variant from the net buy-sell-excess product; family-level match only, not an exact per-field product name.",ACCESSIBLE
6,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,tdcc_weekly,R4-A,official_product_name,"集保股權分散 (Depository Shareholding Concentration), also listed as ""集保庫存分散""; 籌碼分佈 (chip distribution, price-level shareholding, noted 2008 onward) listed as a related but distinct product.",ACCESSIBLE
7,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,industry_map,R4-A,official_product_name,"產業分類屬性 (Industry Classification Attributes) -- sector and subsector coding, listed as a named product under Company Information.",ACCESSIBLE
8,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,monthly_revenue,R4-A,official_product_name,"上市(櫃)月營收盈餘 (Monthly Revenue and Earnings) -- listed as a named product under Financial Statement Data.",ACCESSIBLE
9,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,financial_statements,R4-A,official_product_name,"IFRS以合併為主簡表(累計)-全產業 (IFRS Consolidated Abbreviated Statement, cumulative, all industries) -- listed as a named product under Financial Statement Data.",ACCESSIBLE
10,https://www.tejwin.com/databank-solution/taiwan/,2026-08-16,revenue_growth,R4-A,official_product_name,"Page was fully reachable with no login/payment/download wall encountered. No distinct, separately-named product for a per-row revenue-YoY-growth dataset appears anywhere on this accessible page. This is recorded as an evidentiary gap distinct from the licensing_terms gap (row 2) that applies to all 8 datasets -- for revenue_growth specifically, even the official product name itself was not located on any publicly reachable page this round.",ACCESSIBLE
